suburb|price|unit_price|unit_percentage|income|remuneration|multiplier|agreement_term|agreement_remain|agreement_age|total_unit|wage_per_unit|owner_occupy|letting|income_per_letting|look_ups|outside_agents|manager_bed|manager_bathroom|manager_car|office|office_hour|agency|agent|complex_feature|url|title|description|unit_feature|pets|last_update|property_id|crawl_date
Richlands|899000|375000|0.42|105077|45271|4.9|25|23|0||0|0||0|0|0|3|2|2|1| None| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Richlands-QLD-3878514|"Simple and Easy!
              "|Walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station|" 
                       "|No| 2 weeks ago.|3878514|2018-08-22
Browns Plains|1548000|550000|0.36|195718|71708|5.1|25|22|0|62|1156.58|16|43|2883.95|0|3|4|3|6|1| None on Agreement| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BrownsPlains-QLD-3876225|"Good Permanent Management Rights in Brisbane Southside
              "|Great Complex|" 
                       "|No| 2 weeks ago.|3876225|2018-08-22
South Brisbane|3428000|640000|0.19|480037|172676|5.8|25|24|12|117|1475.86|37|78|3940.53|0|2|3|2|2|1| As per agreements| Next International Realty Pty Ltd|David Jiang|" - 20 metre lap pool- heated spa- BBQ facilities- media room- gymnasium
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SouthBrisbane-QLD-3883414|"Big Income Permanent and Small Short Term Mix in Central South Brisbane
              "|- Perfectly located in the prestigious heart of South Brisbane, offering inner city and South Bank charm|" 
                       "|No| 2 weeks ago.|3883414|2018-08-22
CLEVELAND|1393914|720000|0.52|143386|110373|4.7|20|20|0|56|1970.95|36|17|1941.94|0|0|3|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/CLEVELAND-QLD-3881747|"Raby Bay Fantastic Complex
              "|If you are looking for a complex that gives you a big income at a reasonable price, this is the one for you.|" 
                       "|Yes| 2 weeks ago.|3881747|2018-08-22
Windsor|710000|0|0|131612|49600|0|25|23|2|44|1127.27|1|42|1952.67|0|1|0|0|0|0| None| Raine & Horne Onsite Rights|Joanne Piercy|" Remote access to car park area.Intercom system. NBN ready. Storage areas for the managers use.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Windsor-QLD-3883221|"Business Only Mangement Rights in Prime Location
              "|Just listed.|" No unit to buy and no requirement to live onsite.
                       "|Yes| 3 weeks ago.|3883221|2018-08-22
Redcliffe|307500|0|0|66000|27196|4.7|25|20|5|28|971.29|0|28|1385.86|0|0|0|0|0|0| None set| Management Rights Agents|David Manson|" Equipment Shed
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Redcliffe-QLD-3884160|"Redcliffe Management Rights Reduced to sell No Managers Accommodationl
              "|Redcliffe Management Rights Reduced to sell|" None
                       "|No| 4 days ago.|3884160|2018-08-24
Brisbane City|1398000|380000|0.27|207870|55865|4.9|25|15|0||0|0||0|0|0|3|1|1|1| As per agreements| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BrisbaneCity-QLD-3883248|"Sunny Life and Great Business in Bayside of Brisbane
              "|- Possible Best Value Management Rights in leafy Bayside of Brisbane|" 
                       "|No| 2 weeks ago.|3883248|2018-08-24
Fortitude Valley|1277500|670000|0.52|135000|68727|4.5|25|21|14|43|1598.3|17|22|3012.41|0|4|3|2|2|1| No set office hours| Shine Realty|Celine Tseng|" Swimming Pool, Barbecue
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/FortitudeValley-QLD-3882897|"CULTURAL HOTSPOT AND HIGH RENTAL DEMAND
              "||" 
                       "|Yes| 1 week ago.|3882897|2018-08-24
Dakabin|1440000|399000|0.28|208000|109000|5|25|21|0||0|0|68|0|0|0|4|2|2|1| no| SIRE Management Rights|Jessica Dong|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Dakabin-QLD-3880433|"Are you looking for secure income, secure letting pool, investor complex with big salary?
              "|Not required to live onsite,|" 
                       "|No| 2 weeks ago.|3880433|2018-08-24
Eight Mile Plains|0|650000||243086|104046|5.5|25|21|9||0|0||0|0|0|4|2|0|1| NO| SIRE Management Rights|Richard Skiba and Jessica Dong|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-QLD-3881971|"Great Lifestyle Business
              "|Managers  Residence:|" - Spacious 4 bed, 2.5 bath, DLUGâ- Spacious Office On Title- Living in manager currently renting out 2 rooms for \\\\\\\\\\\$15,000 per year- Perfect for a family to live in
                       "|No| 2 weeks ago.|3881971|2018-08-24
Bulimba|1985000|785000|0.4|231000|118131|5.2|25|20|0|95|1243.48|44|52|2170.56|0|11|3|2|2|1| | Resort Brokers|Brent Staker|" Two pools, two BBQs
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Bulimba-QLD-3878757|"Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              "|Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.|" Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       "|yes| 2 weeks ago.|3878757|2018-08-24
Browns Plains|1548000|550000|0.36|195718|71708|5.1|25|22|0|62|1156.58|16|43|2883.95|0|3|4|3|6|1| None on Agreement| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BrownsPlains-QLD-3876225|"Good Permanent Management Rights in Brisbane Southside
              "|Great Complex|" 
                       "|No| 3 weeks ago.|3876225|2018-08-24
Windsor|710000|0|0|131612|49600|0|25|23|2|44|1127.27|1|42|1952.67|0|1|0|0|0|0| None| Raine & Horne Onsite Rights|Joanne Piercy|" Remote access to car park area.Intercom system. NBN ready. Storage areas for the managers use.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Windsor-QLD-3883221|"Business Only Mangement Rights in Prime Location
              "|Just listed.|" No unit to buy and no requirement to live onsite.
                       "|Yes| 3 weeks ago.|3883221|2018-08-24
Richlands|899000|375000|0.42|105077|45271|4.9|25|23|0||0|0||0|0|0|3|2|2|1| None| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Richlands-QLD-3878514|"Simple and Easy!
              "|Walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station|" 
                       "|No| 3 weeks ago.|3878514|2018-08-24
Springwood|885254|545000|0.62|75612|68400|4.5|25|25|0|57|1200|44|6|1202|0|6|4|2|1|1| not in caretaking agreement| Resort Brokers|Jessica  Wilkie|" pool and bbq area
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Springwood-QLD-3876639|"Lifestyle! Securityâ  Brand New 25 Year Agreements! Minimal Caretaking!  | Resort Brokers ID : MR005232
              "|Secure the Management Rights for a suburban townhouse complex of 57 units completed November 2017. Solid Body corporate Salary of $68,400. Enjoy your lifestyle in a luxury 4 bedroom + office managers unit!|" four bedroom, two bathroom , attached office, single lock-up garage, sleek kitchen, stone benchtops, european appliances, gas cooktops, open plan lounge
                       "|yes| 4 months ago.|3876639|2018-08-24
South Brisbane|3428000|640000|0.19|480037|172676|5.8|25|24|12|117|1475.86|37|78|3940.53|0|2|3|2|2|1| As per agreements| Next International Realty Pty Ltd|David Jiang|" - 20 metre lap pool- heated spa- BBQ facilities- media room- gymnasium
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SouthBrisbane-QLD-3883414|"Big Income Permanent and Small Short Term Mix in Central South Brisbane
              "|- Perfectly located in the prestigious heart of South Brisbane, offering inner city and South Bank charm|" 
                       "|No| 3 weeks ago.|3883414|2018-08-24
Ormiston|1125000|365000|0.32|157613|119915|4.8|10|10|0|58|2067.5|0|24|1570.75|0|0|3|2|1|1| Approximately 4.5 hours a week| RCA Business Brokers|Rod Askew|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Ormiston-QLD-3884145|"LIGHT DUTIES PERMANENT RENTALS NETTING OVER $150,000
              "|Over $150,000 nett income|" Management Rights \\\\\\$ - Only \\\\\\$750,000Managers Unit \\\\\\$  - \\\\\\$365,000Aircon, Courtyard, Single Lock Up Garage
                       "|No| 3 days ago.|3884145|2018-08-24
Griffin|1505000|465000|0.31|200000|89315|5.2|25|23|2|71|1257.96|0|68|1627.72|0|0|3|2|2|1| Nil| Liz Lavender Management Rights|LIZ LAVENDER|" Easy care grounds
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Griffin-QLD-3883154|"LARGE PERMANENT - AS NEW!!!
              "|Impressive 2 year old permanent, first time offered for sale.  Large freestanding home and excellent business opportunity.  Northern suburbs of Brisbane near train, shops and M1.   CALL TODAY FOR DETAILS.|" Freestanding villa with private yard  undercover entertaining area. Double lock up garage.  Large open plan lounge and  dining room, gourmet kitchen and spacious bedrooms.
                       "|No| 3 days ago.|3883154|2018-08-24
North Lakes|1068911|0|0|213782|105600|5|25|25|0|96|1100|0|48|2253.79|0|0|4|2|2|0| Contactable by phone Mon-Fri 9am-5pm| Resort Brokers|Brent Staker|" Gated entry
Internal park
BBQ area and pool
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/NorthLakes-QLD-3878608|"Brand New OTP Townhouse Estate - Business-Only! | Resort Brokers ID : OTP005198
              "|The last residential estate of its kind to be constructed in the heart of the North Lakes Town Centre. VIDA North Lakes hosts 96 contemporary 2, 3&4 bedroom townhouses planned within a gated estate and developed by renowned Stockland Group. This superb business-only management rights opportunity is situated just moments walk to the huge array of North Lakes amenity.  Big nett profits and a brand new 25 year agreement, with no requirement to live on-site, give this offering tremendous appeal for an experienced management team.|" Contemporary 2, 3 & 4 bedroom townhouses some with MPRs and double garages.
                       "|yes| 3 months ago.|3878608|2018-08-24
